Player Name,Team,Aces,Service Errors,Service Attempts,Serves Per Match
Ahyi,NED,0,10,24,4.00
Mandıracı,TUR,0,13,23,3.33
McCarthy,CAN,0,9,29,3.00
Garcia,USA,0,8,23,2.67
S. Nikolov,BUL,0,9,25,2.67
Hoag,CAN,0,7,26,2.33
Sho,CAN,0,9,28,2.33
Plak,NED,0,11,34,2.33
Semeniuk,POL,0,3,26,2.33
Patry,FRA,0,1,29,3.50
Miyaura,JPN,0,14,18,2.00
Bedirhan,TUR,0,8,31,2.00
Poriya,IRI,0,8,17,3.00
Rotty,BEL,0,6,17,3.00
Michieletto,ITA,0,6,23,3.00
Champlin,USA,0,6,32,1.67
Tavares,POR,0,6,27,1.67
A. Nikolov,BUL,0,13,38,1.67
Z. Štern,SLO,0,3,33,1.67
Morteza,IRI,0,9,15,2.50
Brizard,FRA,0,9,22,2.50
Masso,CUB,0,9,22,1.33
N. Marques,POR,0,8,30,1.33
Ran,JPN,0,4,32,1.33
Ishikawa,JPN,0,7,20,1.33
Grozer,GER,0,14,25,1.33
Brehme,GER,0,11,29,1.33
Röhrs,GER,0,9,30,1.33
Asparuhov,BUL,0,7,34,1.33
Koops,NED,0,8,39,1.33
Tuinstra,NED,0,6,20,1.33
Ibrahim,QAT,0,8,24,1.33
Leon,POL,0,7,18,1.33
Jokela,FIN,0,8,22,2.00
Yanchuk,UKR,0,5,14,2.00
Jimenez,COL,0,4,12,1.00
Ararat,COL,0,6,30,1.00
Benavides,COL,0,8,22,1.00
Simón,CUB,0,8,34,1.00
A. Lagumdzija,TUR,0,9,29,1.00
Atanasov,BUL,0,7,28,1.00
Bobby,QAT,0,4,32,1.00
Mujanović,SLO,0,12,39,1.00
Fornal,POL,0,11,16,1.00
Kukartsev,ARG,0,8,24,1.50
Yasso,EGY,0,8,24,1.50
Tupchii,UKR,0,3,23,1.50
Romanò,ITA,0,4,15,1.50
Bagunas,PHI,0,6,16,1.00
Espejo,PHI,0,8,15,1.00
Ordiales,PHI,0,6,18,1.00
Karamosli E,TUN,0,5,29,1.00
Aponza,COL,0,3,27,0.67
Ilkhbayri . A,LBA,0,12,20,0.67
Abulababa,LBA,0,7,19,0.67
Mergarejo,CUB,0,7,20,0.67
Gomez,CUB,0,0,15,0.67
Lopez,CUB,0,4,17,0.67
Yant,CUB,0,8,26,0.67
Kelton,POR,0,10,35,0.67
Lourenço,POR,0,8,39,0.67
Sato,JPN,0,2,8,0.67
Brand,GER,0,3,25,0.67
Petkov,BUL,0,0,0,0
T. Štern,SLO,0,15,27,0.67
Ropret,SLO,0,6,25,0.67
Aravena,CHI,0,8,21,0.67
Kurek,POL,0,8,23,0.67
Kochanowski,POL,0,7,30,0.67
Balean,ROU,0,9,29,0.67
Magdas,ROU,0,8,28,0.67
Chitigoi,ROU,0,3,18,0.67
Palonsky,ARG,0,7,31,1.00
Loser Bruno,ARG,0,4,30,1.00
De Cecco,ARG,0,4,20,1.00
Seif Abed,EGY,0,11,9,1.00
Drozd,UKR,0,1,17,1.00
Kovalov,UKR,0,4,15,1.00
Reggers,BEL,0,8,13,1.00
D'heer,BEL,0,4,9,1.00
Vasina,CZE,0,4,23,1.00
Ngapeth,FRA,0,5,13,1.00
Subong,KOR,0,4,16,1.00
Fernando,BRA,0,1,30,1.00
Lucarelli,BRA,0,4,27,1.00
Li L.,CHN,0,2,3,1.00
Wang B.,CHN,0,4,19,1.00
Bottolo,ITA,0,9,15,1.00
Dour,ALG,0,3,8,1.00
Retamar,PHI,0,1,16,0.50
Josafat,PHI,0,1,12,0.50
Buddin,PHI,0,1,5,0.50
Ben Slimene K,TUN,0,4,21,0.50
Mbareki S.,TUN,0,3,18,0.50
McHenry,USA,0,5,30,0.33
Knigge,USA,0,0,8,0.33
Piza,COL,0,7,20,0.33
Jaramillo,COL,0,2,19,0.33
Ambuila,COL,0,0,13,0.33
Amaranto,COL,0,6,9,0.33
Gyimah,CAN,0,10,7,0.33
Herr,CAN,0,5,27,0.33
Young,CAN,0,3,4,0.33
Abu Zariba,LBA,0,5,29,0.33
Bisset,CUB,0,1,4,0.33
Yüksel,TUR,0,2,7,0.33
Yenipazar,TUR,0,7,44,0.33
Kirkit,TUR,0,1,0,0.33
Peter,GER,0,2,9,0.33
Bak,NED,0,0,6,0.33
Pape,QAT,0,1,18,0.33
Renan,QAT,0,2,32,0.33
Pajenk,SLO,0,8,37,0.33
Kozamernik,SLO,0,6,32,0.33
Jadue,CHI,0,2,1,0.33
Bartha,ROU,0,12,17,0.33
Aciobanitei,ROU,0,4,13,0.33
Bala,ROU,0,2,5,0.33
Martinez Franchi,ARG,0,2,8,0.50
Gomez,ARG,0,1,1,0.50
Vicentin,ARG,0,4,12,0.50
Tyynismaa,FIN,0,6,29,0.50
Haapaniemi,FIN,0,0,7,0.50
Lindqvist,FIN,0,0,1,0.50
Ivanov,FIN,0,2,21,0.50
Esfandiar,IRI,0,1,3,0.50
Hajipour,IRI,0,2,22,0.50
Eisa,IRI,0,0,13,0.50
Hamada,EGY,0,2,25,0.50
Elhossiny,EGY,0,6,19,0.50
A.Said,EGY,0,5,22,0.50
A.Elshahat,EGY,0,3,4,0.50
Synytsia,UKR,0,2,13,0.50
Semeniuk,UKR,0,3,15,0.50
Deroo,BEL,0,2,15,0.50
Fafchamps,BEL,0,2,4,0.50
Gajović,SRB,0,2,6,0.50
Luburić,SRB,0,10,15,0.50
Galabov,CZE,0,4,16,0.50
Zajicek,CZE,0,4,14,0.50
Sotola,CZE,0,2,5,0.50
Indra,CZE,0,4,12,0.50
Chinenyeze,FRA,0,5,13,0.50
Louati,FRA,0,5,13,0.50
Taekeui,KOR,0,2,20,0.50
Hanyong,KOR,0,5,8,0.50
Junhyeok,KOR,0,2,25,0.50
Alan,BRA,0,4,17,0.50
Arthur,BRA,0,7,11,0.50
Wen Z. H.,CHN,0,1,8,0.50
Peng S.K.,CHN,0,3,21,0.50
Liu L.B.,CHN,0,3,11,0.50
Giannelli,ITA,0,3,21,0.50
Rychlicki,ITA,0,3,5,0.50
Bourouba,ALG,0,0,3,0.50
Ybanez,PHI,0,0,0,0
Lorenzo,PHI,0,0,0,0
Malabunga,PHI,0,0,20,0.00
Kalingking,PHI,0,0,0,0
Taguibolos,PHI,0,4,6,0.00
Adajar,PHI,0,0,0,0
Ramirez,PHI,0,0,2,0.00
Disquitado,PHI,0,2,9,0.00
Boussabah.A,TUN,0,0,0,0
Kadhi A,TUN,0,1,25,0.00
Bouaziz. A,TUN,0,0,0,0
Hfaiedh H.,TUN,0,0,0,0
Nagga H.,TUN,0,0,0,0
Baccour.W,TUN,0,0,4,0.00
Ridene.M,TUN,0,0,0,0
Ben Romdhane.O,TUN,0,5,22,0.00
Ben Taher.M,TUN,0,0,0,0
Bongui.A,TUN,0,5,12,0.00
Korbosli T,TUN,0,0,0,0
Jendryk,USA,0,1,20,0.00
Ensing,USA,0,3,7,0.00
Pasteur,USA,0,2,4,0.00
Dagostino,USA,0,0,0,0
Christenson,USA,0,4,23,0.00
Averill,USA,0,0,0,0
Ma'a,USA,0,3,15,0.00
Robinson,USA,0,3,5,0.00
Shoji,USA,0,0,0,0
Ewert,USA,0,1,29,0.00
Mendoza,COL,0,1,6,0.00
Roosvuelt,COL,0,0,0,0
Ruiz,COL,0,0,1,0.00
Caicedo,COL,0,0,0,0
larrahondo,COL,0,2,7,0.00
Santos,COL,0,0,6,0.00
J. Elser,CAN,0,1,4,0.00
Howe,CAN,0,0,4,0.00
Elgert,CAN,0,1,3,0.00
Wassenaar Ketrzynski,CAN,0,4,0,0.00
Schnitzer,CAN,0,0,0,0
Lui,CAN,0,0,0,0
Heslinga,CAN,0,5,25,0.00
Currie,CAN,0,0,0,0
jnefa,LBA,0,0,3,0.00
Abdelmalek,LBA,0,0,0,0
Almarrug,LBA,0,0,0,0
Soltan,LBA,0,0,3,0.00
Mousa,LBA,0,0,2,0.00
Alwaddani,LBA,0,4,30,0.00
Alashlam,LBA,0,1,2,0.00
Zakka Ragab Tarek,LBA,0,0,0,0
Alghoul,LBA,0,3,31,0.00
M. Alajeeli,LBA,0,0,1,0.00
Garwash,LBA,0,5,27,0.00
Concepcion,CUB,0,7,23,0.00
Garcia,CUB,0,0,0,0
Camino,CUB,0,0,0,0
Alonso,CUB,0,0,0,0
J. Gutierrez,CUB,0,1,2,0.00
Fiel,CUB,0,0,3,0.00
Thondike,CUB,0,7,16,0.00
Rafael,POR,0,0,0,0
Cveticanin,POR,0,1,28,0.00
Alex,POR,0,0,0,0
Ivo Casas,POR,0,0,0,0
Violas,POR,0,3,15,0.00
Goncalo,POR,0,0,0,0
B. Dias,POR,0,2,4,0.00
J. Pinto,POR,0,9,22,0.00
Menezes,POR,0,0,0,0
Andre,POR,0,2,0,0.00
Onodera,JPN,0,2,5,0.00
Otsuka,JPN,0,1,7,0.00
Oya,JPN,0,2,13,0.00
Ogawa,JPN,0,0,0,0
Kai,JPN,0,3,6,0.00
Nishimoto,JPN,0,0,1,0.00
Nishiyama,JPN,0,0,2,0.00
Yamamoto,JPN,0,0,0,0
Eiro,JPN,0,1,13,0.00
Larry,JPN,0,2,23,0.00
Tümer,TUR,0,2,5,0.00
Matić,TUR,0,1,24,0.00
M. Lagumdzija,TUR,0,3,12,0.00
Hatipoğlu,TUR,0,0,0,0
B. Bayraktar,TUR,0,0,0,0
Muhammed K.,TUR,0,0,0,0
Can Koç,TUR,0,0,5,0.00
Kaplan,TUR,0,0,0,0
Graven,GER,0,0,0,0
Reichert,GER,0,3,9,0.00
John,GER,0,1,3,0.00
Zimmermann,GER,0,2,39,0.00
Krage,GER,0,0,0,0
Krick,GER,0,3,19,0.00
Burggräf,GER,0,1,1,0.00
Mohwinkel,GER,0,0,0,0
Torwie,GER,0,0,1,0.00
Nachev,BUL,0,0,3,0.00
Grozdanov,BUL,0,2,41,0.00
Tatarov,BUL,0,0,1,0.00
Zhelev,BUL,0,0,0,0
Antov,BUL,0,0,0,0
Palev,BUL,0,1,3,0.00
Dobrev,BUL,0,0,0,0
D. Kolev,BUL,0,0,0,0
Korenblek,NED,0,2,4,0.00
Keemink,NED,0,1,8,0.00
Van Der Ent,NED,0,4,14,0.00
Meijs,NED,0,0,0,0
Jorna,NED,0,0,0,0
Berkhout,NED,0,6,29,0.00
Klok,NED,0,0,0,0
Wijkstra,NED,0,0,0,0
Wiltenburg,NED,0,3,8,0.00
Y. Oughlaf,QAT,0,8,23,0.00
M. Alkuwari,QAT,0,1,0,0.00
Sulaiman,QAT,0,0,0,0
Belal,QAT,0,4,17,0.00
Waleed,QAT,0,2,5,0.00
Nikola,QAT,0,8,32,0.00
Naji,QAT,0,0,0,0
Abdallah,QAT,0,3,5,0.00
A. Bakry,QAT,0,2,4,0.00
Mahdi,QAT,0,0,0,0
Marovt,SLO,0,0,1,0.00
Bračko,SLO,0,1,2,0.00
Štalekar,SLO,0,0,1,0.00
Okroglič,SLO,0,0,0,0
Kovačič,SLO,0,0,0,0
Urnaut,SLO,0,0,0,0
Kržič,SLO,0,0,1,0.00
Najdič,SLO,0,1,4,0.00
Ibarra,CHI,0,1,2,0.00
Araya,CHI,0,0,3,0.00
Parraguirre,CHI,0,6,15,0.00
Gago,CHI,0,0,26,0.00
Albornoz,CHI,0,0,6,0.00
Bonacic,CHI,0,1,2,0.00
Mardones,CHI,0,0,0,0
Castillo,CHI,0,0,0,0
Valenzuela,CHI,0,3,20,0.00
Bravo,CHI,0,0,0,0
Banda,CHI,0,1,23,0.00
Popiwczak,POL,0,0,0,0
Komenda,POL,0,1,28,0.00
Szalpuk,POL,0,1,4,0.00
Granieczny,POL,0,0,0,0
Jakubiszak,POL,0,0,2,0.00
Sasak,POL,0,3,8,0.00
Nowak J.,POL,0,0,1,0.00
Firlej,POL,0,0,0,0
Huber,POL,0,7,30,0.00
Peta,ROU,0,8,17,0.00
Constantin,ROU,0,0,2,0.00
Dumitru,ROU,0,5,25,0.00
Kosinski,ROU,0,0,0,0
Butnaru,ROU,0,0,1,0.00
Kantor,ROU,0,0,0,0
Lupu,ROU,0,1,7,0.00
Ionescu,ROU,0,4,4,0.00
Sanchez Pages,ARG,0,0,3,0.00
Gallego,ARG,0,2,18,0.00
Danani,ARG,0,0,0,0
Armoa Morel,ARG,0,1,0,0.00
Zerba,ARG,0,0,7,0.00
Luengas,ARG,0,0,0,0
Giraudo,ARG,0,0,0,0
Ronkainen,FIN,0,1,11,0.00
Tervaportti,FIN,0,0,6,0.00
Suihkonen,FIN,0,3,20,0.00
Köykkä,FIN,0,0,0,0
Marttila,FIN,0,0,1,0.00
Savonsalmi,FIN,0,1,33,0.00
Breilin,FIN,0,0,0,0
Kaunisto,FIN,0,0,0,0
Saadat,IRI,0,0,0,0
Daneshdoust,IRI,0,0,4,0.00
Hazrat,IRI,0,0,0,0
A. Ramezani,IRI,0,0,1,0.00
Arshia,IRI,0,7,18,0.00
Yousef,IRI,0,2,14,0.00
Arman,IRI,0,0,0,0
Haghparast,IRI,0,2,11,0.00
Mohammad,IRI,0,2,18,0.00
Z. Osama,EGY,0,2,2,0.00
A. Seoudy,EGY,0,1,11,0.00
M. Reda,EGY,0,0,0,0
M. Ramadan,EGY,0,0,0,0
Asran,EGY,0,2,4,0.00
Deyo,EGY,0,3,4,0.00
Azab,EGY,0,0,6,0.00
A.Ellakany,EGY,0,0,3,0.00
Shchytkov,UKR,0,2,0,0.00
Boiko,UKR,0,0,0,0
Poluian,UKR,0,1,0,0.00
Kisiliuk,UKR,0,0,0,0
Pampushko,UKR,0,0,0,0
Todua,UKR,0,0,0,0
Uryvkin,UKR,0,0,0,0
Koval,UKR,0,0,0,0
D'Hulst,BEL,0,1,48,0.00
Coolman,BEL,0,1,31,0.00
Plaskie,BEL,0,0,0,0
Desmet,BEL,0,0,0,0
V. Hoyweghen,BEL,0,0,1,0.00
Verwimp K.,BEL,0,0,0,0
Dermaux,BEL,0,1,0,0.00
Lantsoght,BEL,0,0,0,0
Perin,BEL,0,3,2,0.00
Nikolić,SRB,0,1,1,0.00
Negic,SRB,0,0,0,0
Mašulović V.,SRB,0,0,0,0
Ivović,SRB,0,0,0,0
Jovović,SRB,0,1,28,0.00
Kujundžić,SRB,0,5,17,0.00
Perić,SRB,0,3,16,0.00
Mašulović N.,SRB,0,1,3,0.00
Stefanović,SRB,0,1,18,0.00
Todorović,SRB,0,0,0,0
Brborić,SRB,0,1,0,0.00
Nedeljković,SRB,0,0,14,0.00
Drahonovsky,CZE,0,0,0,0
Monik,CZE,0,0,0,0
Bartunek,CZE,0,3,13,0.00
Licek,CZE,0,0,0,0
Srb,CZE,0,0,0,0
Kovarik,CZE,0,0,0,0
Polak,CZE,0,0,0,0
Klimes,CZE,0,2,14,0.00
Benda,CZE,0,1,0,0.00
Grebennikov,FRA,0,0,0,0
Toniutti,FRA,0,0,3,0.00
Le Goff,FRA,0,0,6,0.00
Henno,FRA,0,2,5,0.00
Clevenot,FRA,0,2,8,0.00
Diez,FRA,0,0,0,0
Faure,FRA,0,0,1,0.00
Jouffroy,FRA,0,7,10,0.00
Huetz,FRA,0,2,3,0.00
Youngseok,KOR,0,2,21,0.00
Taejun,KOR,0,0,3,0.00
Jiwon,KOR,0,0,0,0
Kyeongmin,KOR,0,0,0,0
Sungjin,KOR,0,0,1,0.00
Gyeongbok,KOR,0,2,3,0.00
Changseong,KOR,0,0,1,0.00
Donghyeok,KOR,0,3,12,0.00
Hojin,KOR,0,0,0,0
Jihan,KOR,0,0,0,0
Matheus G.,BRA,0,1,5,0.00
Adriano,BRA,0,0,0,0
Matheus,BRA,0,0,0,0
Honorato,BRA,0,0,5,0.00
Judson,BRA,0,5,18,0.00
Maique,BRA,0,0,0,0
L. Bergmann,BRA,0,0,1,0.00
Flavio,BRA,0,1,21,0.00
Chizoba,BRA,0,0,0,0
Darlan,BRA,0,2,0,0.00
Jiang C.,CHN,0,1,10,0.00
Wang H.B.,CHN,0,2,9,0.00
Yu Y.T.,CHN,0,0,2,0.00
Yu Y.C.,CHN,0,1,21,0.00
Li Y.Z.,CHN,0,3,21,0.00
Ji D.S.,CHN,0,2,1,0.00
Zhang Z.J.,CHN,0,0,2,0.00
Qu Z.S.,CHN,0,0,0,0
Li T. Y.,CHN,0,0,0,0
Balaso,ITA,0,0,0,0
Sbertoli,ITA,0,0,4,0.00
Sani,ITA,0,0,5,0.00
Galassi,ITA,0,0,5,0.00
Anzani,ITA,0,1,18,0.00
Russo,ITA,0,2,17,0.00
Gargiulo,ITA,0,1,9,0.00
Pace,ITA,0,0,0,0
Porro L.,ITA,0,1,0,0.00
Bouyoucef,ALG,0,0,9,0.00
Arab,ALG,0,1,2,0.00
Zerouka,ALG,0,0,0,0
Amrat,ALG,0,1,0,0.00
Kadri,ALG,0,0,1,0.00
Ikken,ALG,0,6,10,0.00
Chikhi,ALG,0,2,14,0.00
Hosni,ALG,0,2,13,0.00
Dekkiche A,ALG,0,1,0,0.00
Abi Ayad,ALG,0,0,0,0
Farouk,ALG,0,1,1,0.00
Hamimes,ALG,0,4,10,0.00
